Input Shape,Block Length,Nonzero Indices

WEIGHT16,
"(1, 10, 16)",
6,
,Nonzero Index (tuple)
,"(0, 0, 10)"
,"(0, 1, 10)"
,"(0, 2, 10)"
,"(0, 3, 10)"
,"(0, 4, 10)"
,"(0, 5, 10)"

WEIGHT16,
"(1, 10, 16)",
6,
,Nonzero Index (tuple)
,"(0, 3, 3)"
,"(0, 4, 3)"
,"(0, 5, 3)"
,"(0, 6, 3)"
,"(0, 7, 3)"
,"(0, 8, 3)"

WEIGHT16,
"(1, 10, 16)",
6,
,Nonzero Index (tuple)
,"(0, 3, 8)"
,"(0, 4, 8)"
,"(0, 5, 8)"
,"(0, 6, 8)"
,"(0, 7, 8)"
,"(0, 8, 8)"

WEIGHT16,
"(1, 10, 16)",
12,
,Nonzero Index (tuple)
,"(0, 0, 12)"
,"(0, 1, 12)"
,"(0, 2, 12)"
,"(0, 3, 12)"
,"(0, 4, 12)"
,"(0, 5, 12)"
,"(0, 6, 12)"
,"(0, 7, 12)"
,"(0, 8, 12)"
,"(0, 9, 12)"

WEIGHT16,
"(1, 10, 16)",
15,
,Nonzero Index (tuple)
,"(0, 0, 10)"
,"(0, 1, 10)"
,"(0, 2, 10)"
,"(0, 3, 10)"
,"(0, 4, 10)"
,"(0, 5, 10)"
,"(0, 6, 10)"
,"(0, 7, 10)"
,"(0, 8, 10)"
,"(0, 9, 10)"

WEIGHT16,
"(1, 10, 16)",
2,
,Nonzero Index (tuple)
,"(0, 1, 5)"
,"(0, 2, 5)"

INPUT16,
"(1, 40, 25)",
16,
,Nonzero Index (tuple)
,"(0, 26, 8)"
,"(0, 26, 9)"
,"(0, 26, 10)"
,"(0, 26, 11)"
,"(0, 26, 12)"
,"(0, 26, 13)"
,"(0, 26, 14)"
,"(0, 26, 15)"
,"(0, 26, 16)"
,"(0, 26, 17)"
,"(0, 26, 18)"
,"(0, 26, 19)"
,"(0, 26, 20)"
,"(0, 26, 21)"
,"(0, 26, 22)"
,"(0, 26, 23)"

INPUT16,
"(1, 40, 25)",
16,
,Nonzero Index (tuple)
,"(0, 21, 6)"
,"(0, 21, 7)"
,"(0, 21, 8)"
,"(0, 21, 9)"
,"(0, 21, 10)"
,"(0, 21, 11)"
,"(0, 21, 12)"
,"(0, 21, 13)"
,"(0, 21, 14)"
,"(0, 21, 15)"
,"(0, 21, 16)"
,"(0, 21, 17)"
,"(0, 21, 18)"
,"(0, 21, 19)"
,"(0, 21, 20)"
,"(0, 21, 21)"

INPUT16,
"(1, 40, 25)",
16,
,Nonzero Index (tuple)
,"(0, 37, 8)"
,"(0, 37, 9)"
,"(0, 37, 10)"
,"(0, 37, 11)"
,"(0, 37, 12)"
,"(0, 37, 13)"
,"(0, 37, 14)"
,"(0, 37, 15)"
,"(0, 37, 16)"
,"(0, 37, 17)"
,"(0, 37, 18)"
,"(0, 37, 19)"
,"(0, 37, 20)"
,"(0, 37, 21)"
,"(0, 37, 22)"
,"(0, 37, 23)"

INPUT16,
"(1, 40, 25)",
16,
,Nonzero Index (tuple)
,"(0, 10, 5)"
,"(0, 10, 6)"
,"(0, 10, 7)"
,"(0, 10, 8)"
,"(0, 10, 9)"
,"(0, 10, 10)"
,"(0, 10, 11)"
,"(0, 10, 12)"
,"(0, 10, 13)"
,"(0, 10, 14)"
,"(0, 10, 15)"
,"(0, 10, 16)"
,"(0, 10, 17)"
,"(0, 10, 18)"
,"(0, 10, 19)"
,"(0, 10, 20)"

INPUT16,
"(1, 40, 25)",
16,
,Nonzero Index (tuple)
,"(0, 38, 3)"
,"(0, 38, 4)"
,"(0, 38, 5)"
,"(0, 38, 6)"
,"(0, 38, 7)"
,"(0, 38, 8)"
,"(0, 38, 9)"
,"(0, 38, 10)"
,"(0, 38, 11)"
,"(0, 38, 12)"
,"(0, 38, 13)"
,"(0, 38, 14)"
,"(0, 38, 15)"
,"(0, 38, 16)"
,"(0, 38, 17)"
,"(0, 38, 18)"

INPUT16,
"(1, 40, 25)",
16,
,Nonzero Index (tuple)
,"(0, 7, 1)"
,"(0, 7, 2)"
,"(0, 7, 3)"
,"(0, 7, 4)"
,"(0, 7, 5)"
,"(0, 7, 6)"
,"(0, 7, 7)"
,"(0, 7, 8)"
,"(0, 7, 9)"
,"(0, 7, 10)"
,"(0, 7, 11)"
,"(0, 7, 12)"
,"(0, 7, 13)"
,"(0, 7, 14)"
,"(0, 7, 15)"
,"(0, 7, 16)"

INPUT16,
"(1, 40, 25)",
16,
,Nonzero Index (tuple)
,"(0, 13, 3)"
,"(0, 13, 4)"
,"(0, 13, 5)"
,"(0, 13, 6)"
,"(0, 13, 7)"
,"(0, 13, 8)"
,"(0, 13, 9)"
,"(0, 13, 10)"
,"(0, 13, 11)"
,"(0, 13, 12)"
,"(0, 13, 13)"
,"(0, 13, 14)"
,"(0, 13, 15)"
,"(0, 13, 16)"
,"(0, 13, 17)"
,"(0, 13, 18)"
